record_id,smiles,target_v,redox_direction,potential_definition,reference_electrode,solvent,supporting_electrolyte,ph,temperature_k,protonation_state,formal_charge,measurement_method,chemical_family,group_id,external_set,source_type,source_id,source_url,source_license,target_definition_id,cohort_id,redox_couple_id,model_input_role,oxidized_smiles,reduced_smiles,inchi_key,connectivity_key,target_v_original,reference_electrode_original,conversion_provenance,n_electron,n_proton,oxidized_multiplicity,reduced_multiplicity
syn-001,O=C1C=CC(=O)C=C1,-0.80,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,benzoquinone,benzoquinone,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-001,parent_connectivity,not_reported,not_reported,AZQWKYJCGOJGHM-UHFFFAOYSA-N,AZQWKYJCGOJGHM,-0.80,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-002,O=C1C(Cl)=CC(=O)C=C1,-0.61,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,benzoquinone,benzoquinone,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-002,parent_connectivity,not_reported,not_reported,WOGWYSWDBYCVDY-UHFFFAOYSA-N,WOGWYSWDBYCVDY,-0.61,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-003,O=C1C(F)=CC(=O)C=C1,-0.66,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,benzoquinone,benzoquinone,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-003,parent_connectivity,not_reported,not_reported,XHKUTQNVGAHLPK-UHFFFAOYSA-N,XHKUTQNVGAHLPK,-0.66,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-004,O=C1C(C)=CC(=O)C=C1,-0.92,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,benzoquinone,benzoquinone,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-004,parent_connectivity,not_reported,not_reported,VTWDKFNVVLAELH-UHFFFAOYSA-N,VTWDKFNVVLAELH,-0.92,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-005,n1ccccc1,-1.20,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,pyridine,pyridine,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-005,parent_connectivity,not_reported,not_reported,JUJWROOIHBZHMG-UHFFFAOYSA-N,JUJWROOIHBZHMG,-1.20,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-006,Clc1ccncc1,-1.01,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,pyridine,pyridine,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-006,parent_connectivity,not_reported,not_reported,PVMNPAUTCMBOMO-UHFFFAOYSA-N,PVMNPAUTCMBOMO,-1.01,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-007,Fc1ccncc1,-1.06,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,pyridine,pyridine,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-007,parent_connectivity,not_reported,not_reported,TTYVECQWCUJXCS-UHFFFAOYSA-N,TTYVECQWCUJXCS,-1.06,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-008,Cc1ccncc1,-1.32,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,pyridine,pyridine,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-008,parent_connectivity,not_reported,not_reported,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,FKNQCJSGGFJEIZ,-1.32,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-009,c1ccc2ccccc2c1,-1.52,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,naphthalene,naphthalene,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-009,parent_connectivity,not_reported,not_reported,UFWIBTONFRDIAS-UHFFFAOYSA-N,UFWIBTONFRDIAS,-1.52,synthetic_reference,not_applicable,1,0,not_reported,not_reported
syn-010,Cc1ccc2ccccc2c1,-1.63,reduction,computed,synthetic_reference,acetonitrile,synthetic_support,not_applicable,298.15,neutral,0,synthetic_formula,naphthalene,naphthalene,false,synthetic,synthetic-fixture-v1,synthetic://fixture/v1,CC0-1.0,synthetic-redox-v1,synthetic-computed-acn-v1,synthetic-couple-010,parent_connectivity,not_reported,not_reported,QIMMUPPBPVKWKM-UHFFFAOYSA-N,QIMMUPPBPVKWKM,-1.63,synthetic_reference,not_applicable,1,0,not_reported,not_reported
